X,Y,OBJECTID,County,Name,Type,Address,ppLocationHours,OpenDaysBeforeElection,IsOpenBeforeElection,Description,Lat,Long
2277251.07801189,370195.127510473,62,Columbia,Columbia County Auditor's Office,Voting Center,"341 East Main Street, Dayton, WA 99328",NULL,20,1,,46.3206,-117.979
2277251.07801189,370195.127510473,63,Columbia,Courthouse Alley,Drop Box,"341 E. Main St., Dayton, WA 99328",,20,1,,46.3206,-117.979
2237445.14614098,441454.12574023,64,Columbia,Starbuck City Hall,Drop Box,"200 Main St., Starbuck, WA 99359",,18,1,,46.5193,-118.128
1022503.80273455,303381.877935141,65,Cowlitz,Broadway Street (Ballot Drop Box),Drop Box,"1525 Broadway Street, Longview, WA 98632",Open 24 hours per day starting 18 days before an election.  Closes at 8 p.m. on Election Day.,18,1,East of the Longview Post Office boxes ,46.1391,-122.938
1031113.28715597,352734.268403396,66,Cowlitz,Castle Rock (Ballot Drop Box),Drop Box,"137 Cowlitz St West, Castle Rock, WA 98611",Open 24 hours per day starting 18 days before an election.  Closes at 8 p.m. on Election Day.,18,1,In front of the Castle Rock Library ,46.2751,-122.91
1029806.91837764,305594.095951647,67,Cowlitz,Cowlitz County Elections Office (Voting Center),Voting Center,"207 4th Ave N, Room 107, Kelso, WA 98626","Monday through Friday: 8:30 a.m. to 5:00 p.m., Election Day Only: 7:00 a.m. to 8:00 p.m.",18,0,"Location for registering to vote, replacement ballots, disability access voting unit, sample ballots ",46.145779,-122.90947
1044428.49969873,256092.193643317,68,Cowlitz,Kalama (Ballot Drop Box),Drop Box,"454 N 1st Street, Kalama, WA 98625",Open 24 hours per day starting 18 days before an election.  Closes at 8 p.m. on Election Day.,18,1,Near the Kalama Post Office boxes ,46.0113,-122.846
1029665.08237523,305350.712252066,69,Cowlitz,Kelso (Ballot Drop Box),Drop Box,"Bridge Market Lane, Kelso, WA 98626",Open 24 hours per day starting 18 days before an election.  Closes at 8 p.m. on Election Day.,18,1,"On Bridge Market Lane, between LJ's Furness Drug Co and the Allen St bridge. ",46.1451,-122.91
1022506.05666706,303454.774442896,70,Cowlitz,Longview Civic Center Circle (Ballot Drop Box),Drop Box,"1525 Broadway Street, Longview, WA 98632",Open 24 hours per day starting 18 days before an election.  Closes at 8 p.m. on Election Day.,18,1,"Across from Broadway St, near the Longview Post Office boxes ",46.1393,-122.938
998654.470512062,389617.687090471,71,Cowlitz,Ryderwood (Ballot Drop Box),Drop Box,"208 Morse St, Ryderwood, WA 98581",Open 24 hours per day starting 18 days before an election.  Closes at 8 p.m. on Election Day.,18,1,Next to the Ryderwood Library ,46.3734,-123.043
1067919.53473756,215242.012876645,72,Cowlitz,Woodland City Parking Lot (Ballot Drop Box),Drop Box,"230 Davidson Avenue, Woodland, WA 98674",Open 24 hours per day starting 18 days before an election.  Closes at 8 p.m. on Election Day.,18,1,Near the City's utility payment drop box ,45.9012,-122.749
1842656.52069356,977165.974918053,73,Douglas,Bridgeport City Hall Drop Box,Drop Box,"1206 Columbia Ave, Bridgeport, WA 98813",,20,1,,48.0097,-119.674
2010676.31227797,962869.327986479,74,Douglas,Coulee Dam Town Hall,Drop Box,"300 Lincoln Ave., Coulee Dam, WA 98116",,20,1,,47.9637,-118.989
1746671.31010531,843813.894181803,75,Douglas,Douglas County Auditor's Office,Voting Center,"213 S Rainier St, Waterville, WA 98858",NULL,20,1,,47.6463,-120.069
1746671.31010531,843813.894181803,76,Douglas,Douglas County Courthouse Drop Box,Drop Box,"213 S Rainier St, Waterville, WA 98858",,20,1,,47.6463,-120.069
1689425.20150064,766541.989998892,77,Douglas,Douglas County Public Service Bldg Drop Box,Drop Box,"140 19th Street NW, East Wenatchee, WA 98802",,20,1,,47.4351,-120.302
1692412.38450263,760093.291938305,78,Douglas,East Wenatchee City Hall,Drop Box,"271 9th St. NE, East Wenatchee, WA 98802",,20,1,,47.4174,-120.29
1699849.80761988,756831.597018138,79,Douglas,East Wenatchee Drop Box,Drop Box,"110 2nd St NE, East Wenatchee, WA 98802",NULL,20,1,,47.4084,-120.26
1852505.97212322,904988.848931387,80,Douglas,Mansfield City Hall Drop Box,Drop Box,"26 Main, Mansfield, WA 98830",,20,0,,47.8116,-119.637
1728628.28582397,744903.058867395,81,Douglas,Rock Island City Hall Drop Box,Drop Box,"5 N Garden, Rock Island, WA 98850",,20,1,,47.3754,-120.144
2095712.19633973,1301152.29577614,82,Ferry,Curlew Drop Box - Curlew Fire Station,Drop Box,"30 Customs Rd, Curlew, WA 99118",,18,1,,48.8853,-118.609
2119267.27455756,1341252.20474939,83,Ferry,Danville Drop Box - Danville Outpost,Drop Box,"19097 N HWY 21, Danville, WA 99121",,18,1,,48.9935,-118.507
2067552.76807864,1214207.24656947,84,Ferry,Ferry County Courthouse,Voting Center,"350 E. Delaware Ave, Republic , WA 99166",NULL,20,1,Phone number (509)775-5200.  Office is open from 7:00 a.m. to 8:00 p.m. on Election Day only. ,48.649,-118.734
2201152.08093198,1089133.26541872,85,Ferry,Inchelium  Drop Box ,Drop Box,"Lake Roosevelt Community Health Center, Inchelium, WA 99138",,18,1,,48.297,-118.197
2081162.8576563,1031834.22483331,86,Ferry,Keller Drop Box - Sanpoil Community Health,Drop Box,"11665 S HWY 21, Keller, WA 99140",,18,1,,48.1486,-118.695
2066867.27273047,1212402.73836748,87,Ferry,Republic City Hall,Drop Box,"987 S. Clark Ave, Republic , WA 99166 ",,20,1,Phone number is (509)775-3216.  Box is available until 8 p.m. on Election Day. ,48.6441,-118.737
2049632.09263398,489291.118976817,88,Franklin,Connell PUD Shop,Drop Box,"619 W Clark St., Connell, WA 99326",24 hour drive-up ballot deposit site. Box closes at 8PM on Election Night,18,1,,46.6635,-118.87
1995925.75943005,332515.644142553,89,Franklin,Fire District No 3,Drop Box,"2108 Road 84, Pasco, WA 99301",24 hour drive-up ballot deposit site.  Box closes at 8PM on Election Night,18,1,,46.2365,-119.095
1996972.9413908,330564.850471973,90,Franklin,Franklin County Annex - Elections Center,Drop Box,"116 N 3rd Ave, Pasco, WA 99301",24 hour ballot deposit site.  Box closes at 8PM on Election Night,18,1,Ballot Drop Box is located on the corner of 3rd and Clark.  *Voter Registration and ballot issuance services not provided at this location. Location hours vary. Please call (509) 545-3538 for more information. ,46.2311,-119.091
1995925.75943005,332515.644142553,91,Franklin,Franklin County Auditor's Office,Voting Center,"1016 N 4th Ave., Pasco, WA 99301","8:30 AM to 5:00 PM M-F,      8:30 AM to 8:00 PM on Election Day",18,1,"Visit for voter registration services, replacement ballot requests, and for general elections information. ",46.2365,-119.095
1995925.75943005,332515.644142553,92,Franklin,Franklin County Courthouse Drop Box,Drop Box,"1016 N. 4th Avenue, Pasco, WA 99301",24 hour drive-up ballot deposit site. Box closes at 8PM on Election Night,18,1,The box is located near the Security Building entrance outside of the courthouse. ,46.2365,-119.095
1975223.68666105,344594.248594224,93,Franklin,The HAPO Center (TRAC),Drop Box,"6600 Burden Blvd, Pasco, WA 99301",24 hour drive-up ballot deposit site.  Box closes at 8PM on Election Night,18,1,,46.2706,-119.176
2365056.50213823,430450.186790138,94,Garfield,Garfield County Auditor's Office,Voting Center,"789 Main St, Pomeroy, WA 99347",NULL,20,1,,46.4775,-117.623
2365056.50213823,430450.186790138,95,Garfield,Garfield County Auditor's Office Drop Box,Drop Box,"789 Main Street, Pomeroy, WA 99347",NULL,20,1,,46.4775,-117.623
1937849.06882514,832915.044916555,96,Grant,Coulee City City Hall,Drop Box,"501 W Main St, Coulee City, WA 99115",NULL,20,0,Across the street at the flag poles ,47.610988,-119.294259
1801021.98847722,637715.351983398,97,Grant,George City Hall,Drop Box,"102 E Richmond Ave, George, WA 98824",NULL,20,0,,47.080272,-119.855371
2010890.17963238,951706.467766315,98,Grant,Grand Coulee,Drop Box,"555 Grand Coulee Ave, Grand Coulee, WA 99133",NULL,20,1,Outside Grant County PUD office ,47.9331,-118.989
1875052.06745088,726012.955899641,99,Grant,Grant County Courthouse,Drop Box,"1st & C St NW, Ephrata, WA 98823",,20,1,"Grant County Courthouse, Public Parking Lot #A ",47.3203,-119.554
1875297.89110622,726198.29542397,100,Grant,Grant County Election Dept,Voting Center,"35 C St NW, Ephrata, WA 98823",Monday - Friday 8:00 am - 5:00 pm,18,1,"Grant County Courthouse, Room 203 ",47.3208,-119.553
1875041.13112105,726924.77198939,101,Grant,Grant County Elections Office,Voting Center,"35 C St NW, Ephrata, WA 98823",Monday - Friday 8:00 am - 5:00 pm,20,1,"Grant County Courthouse, Room 203 ",47.3228,-119.554
1789725.09571671,512679.668656304,102,Grant,Mattawa Hospital,Drop Box,"210 Government Rd, Mattawa, WA 99349",NULL,18,0,,46.737683,-119.904502
1945565.62130539,658041.724716395,103,Grant,Moses Lake City Hall,Drop Box,"321 Balsam St, Moses Lake, WA 98837",NULL,20,1,Behind Moses Lake Civic Center Annex.  Just before the city payment drop box.,47.1313,-119.274
1801147.98133548,694371.10809423,104,Grant,Quincy Public Library,Drop Box,"208 Central Ave S, Quincy, WA 98848",NULL,20,1,,47.2356,-119.853
1858313.51497005,572483.901737899,105,Grant,Royal City,Drop Box,"101 NE Camela St, Royal City, WA 99357",NULL,20,1,Next door to Confluence Health ,46.899912,-119.628322
1891660.90628038,750584.82801564,106,Grant,Soap Lake  City Hall,Drop Box,"239 SE 2nd Ave, Soap Lake, WA 98851",NULL,20,0,,47.387094,-119.485769
2004502.38663372,600466.01244022,107,Grant,Warden Community Center,Drop Box,"115 N Oak St, Warden, WA 98857",NULL,20,0,,46.970709,-119.041533
,,108,Grays Harbor,Cosmopolis City Hall,Drop Box,"1300 1st St, Cosmopolis, WA 98537",NULL,NULL,0,,,
916315.356319219,622896.225125641,109,Grays Harbor,Elma City Hall,Drop Box,"202 W Main St, Elma, WA 98541",NULL,18,1,Alley between City Hall & Fire Station,47.0049,-123.403
866615.333672225,616211.783113971,110,Grays Harbor,Grays Harbor County Auditor,Voting Center,"100 W Broadway , Montesano, WA 98563",NULL,20,1,The Auditor's Office is located on the first floor of the Grays Harbor County Admin Building next to the courthouse.     Handicapped parking is available at the rear of the building.,46.9814,-123.601
866368.79610756,616294.480455145,111,Grays Harbor,Grays Harbor County Auditor's Office Drop Box,Drop Box,"100 W Broadway, Montesano, WA 98563",NULL,18,1,At the corner of 1st St N and Broadway.,46.9816,-123.602
799932.12845622,616684.696538225,112,Grays Harbor,Hoquiam,Drop Box,"YMCA, Hoquiam, WA 98550",NULL,18,1,,46.9752,-123.868
951384.822269395,640540.079929724,113,Grays Harbor,McCleary Area,Drop Box,"VFW, McCleary, WA 98557",Open election day only,-1,0,Open election day only ,47.0567,-123.265
956591.631081477,560512.388935566,114,Grays Harbor,Oakville Area,Drop Box,"Methodist Church, Oakville, WA 98568",Open election day only,-1,0,Open election day only. ,46.8379,-123.233
956614.371849641,561168.446022391,115,Grays Harbor,Oakville City Hall,Drop Box,"204 E Main St, Oakville, WA 98568",,18,1,,46.8397,-123.233
726918.992330551,631878.875795469,116,Grays Harbor,Ocean Shores Convention Center,Drop Box,"120 W Chance a la Mer, Ocean Shores, WA 98569",,18,1,In the parking lot of the Ocean Shores Convention Center,47.0079,-124.163
739665.113163725,588392.844329387,117,Grays Harbor,South Beach Area,Drop Box,"Council Chambers, Westport, WA 98595",Open election day only,-1,0,Open election day only ,46.8904,-124.104
739685.102625057,588830.027510136,118,Grays Harbor,Westport City Administration,Drop Box,"604 N Montesano St, Westport, WA 98595",,18,1,,46.8916,-124.104
1158057.02965905,1057325.63579264,119,Island,Camano Island Annex,Drop Box,"121 N. East Camano Drive, Camano Island, WA 98282","Drop box is open 24 hours a day starting 18 days before the election, and will be closed promptly at 8 p.m. on election night. ",18,1,,48.2157,-122.478
1107353.75934663,1058956.3323344,120,Island,Island County Auditor's,Drop Box,"400 N. Main Street, Coupeville, WA 98239",NULL,18,1,,48.2165,-122.686
1107352.7481938,1058919.85373281,121,Island,Island County Auditor's Office,Voting Center,"400 North Main Street, Coupeville, WA 98239","Office is open Monday through Friday 8:00 a.m. to 4:30 p.m.  On Election Day only, the office is open 8:00 a.m to 8:00 p.m.    Drop box is open 24 hours a day starting 18 days before the election, and will be closed promptly at 8 p.m. on election night. ",18,1,,48.2164,-122.686
1176786.65985064,973716.449336812,122,Island,Ken's Korner Red Apple Grocery,Drop Box,"4141 SR 525, Clinton, WA 98236","Drop box is open 24 hours a day starting 18 days before the election, and will be closed promptly at 8 p.m. on election night. ",18,1,,47.9879,-122.393
1173815.36461213,992694.34313947,123,Island,Langley Post Office,Drop Box,"112 5th Street, Langley, WA 98260","Drop box is open 24 hours a day starting 18 days before the election, and will be closed promptly at 8 p.m. on election night. ",18,1,,48.0397,-122.407
